Time,Open,High,Low,Close,Volume
2022-09-22 21:20:00,141.814,141.875,141.762,141.828,930
2022-09-22 21:25:00,141.826,141.938,141.803,141.9,515
2022-09-22 21:30:00,141.898,142.02,141.889,141.992,782
2022-09-22 21:35:00,141.996,142.076,141.985,142.056,627
2022-09-22 21:40:00,142.058,142.075,142.002,142.048,447
2022-09-22 21:45:00,142.049,142.183,142.043,142.152,738
2022-09-22 21:50:00,142.152,142.192,142.11,142.147,572
2022-09-22 21:55:00,142.149,142.15,142.057,142.118,515
2022-09-22 22:00:00,142.12,142.172,142.101,142.108,508
2022-09-22 22:05:00,142.107,142.156,142.103,142.119,500
2022-09-22 22:10:00,142.118,142.128,142.088,142.098,344
2022-09-22 22:15:00,142.096,142.108,142.084,142.091,351
2022-09-22 22:20:00,142.091,142.182,142.058,142.14,501
2022-09-22 22:25:00,142.139,142.164,142.07,142.07,441
2022-09-22 22:30:00,142.07,142.076,141.974,142.041,664
2022-09-22 22:35:00,142.042,142.044,141.96,142.012,555
2022-09-22 22:40:00,142.007,142.06,141.996,142.04,535
2022-09-22 22:45:00,142.04,142.09,142.024,142.066,373
2022-09-22 22:50:00,142.068,142.071,142.014,142.018,289
2022-09-22 22:55:00,142.02,142.051,142.01,142.02,421
2022-09-22 23:00:00,142.02,142.074,142.013,142.016,516
2022-09-22 23:05:00,142.014,142.018,141.916,141.968,480
2022-09-22 23:10:00,141.966,142.026,141.936,141.936,411
